id,label,class,pagerank
429,秦耐之,胡斐,0.7768
430,清风,段誉,0.7756
431,孙婆婆,杨过,0.7747
432,曾铁鸥,胡斐,0.7656
433,不平道人,段誉,0.7592
434,成自学,石破天,0.7589
435,华赫艮,段誉,0.7586
436,王万仞,石破天,0.7574
437,卜垣,狄云,0.7543
438,王进宝,韦小宝,0.7538
439,左子穆,段誉,0.7504
440,杨莲亭,令狐冲,0.7499
441,过彦之,段誉,0.7484
442,罗立如,袁承志,0.7483
443,甘宝宝,段誉,0.7469
444,窝阔台,郭靖,0.7467
445,哲罗星,段誉,0.7465
446,彼得,韦小宝,0.7433
447,掌棒龙头,张无忌,0.7422
448,盖一鸣,盖一鸣,0.7398
449,温方悟,袁承志,0.7356
450,高升泰,段誉,0.7341
451,应松,袁承志,0.7337
452,平一指,令狐冲,0.7318
453,吕正平,石破天,0.7317
454,赵良栋,韦小宝,0.7297
455,史季强,杨过,0.7255
456,刘鹤真,胡斐,0.7247
457,水岱,狄云,0.7229
458,波罗星,段誉,0.7187
459,卫璧,张无忌,0.7184
460,范百龄,段誉,0.7178
461,多尔衮,袁承志,0.7151
462,刀白凤,段誉,0.7144
463,慕容博,段誉,0.7135
464,郭啸天,郭靖,0.7132
465,樊一翁,杨过,0.7109
466,刘处玄,郭靖,0.7105
467,张夫人,令狐冲,0.7098
468,鲁坤,狄云,0.7096
469,桑飞虹,胡斐,0.7062
470,李秋水,段誉,0.7022
471,程瑶迦,郭靖,0.702
472,菊剑,段誉,0.6978
473,耶律洪基,段誉,0.6963
474,仇松年,令狐冲,0.6928
475,费要多罗,韦小宝,0.6879
476,荣彩,袁承志,0.687
477,周威信,卓天雄,0.6869
478,马善均,陈家洛,0.6865
479,武青婴,张无忌,0.6864
480,风良,石破天,0.6827
481,阿三,张无忌,0.6816
482,温仪,袁承志,0.679
483,阿凡提,陈家洛,0.6776
484,白龟寿,张无忌,0.6762
485,平阿四,胡斐,0.6758
486,梅剑,段誉,0.6733
